inchikey,name,is_drug,evidence,moa,suppo,lpv_5,lpv_4,lpv_3,lpv_2,best_inchikey,best_name
UVEYGLMSNYNFPA-IPMKNSEASA-N,Chembl3342467,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
OTCRDVYALLIGLU-BHDDXSALSA-N,Chembl3342466,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
VSZGPKBBMSAYNT-RRFJBIMHSA-N,Oseltamivir,1,3,0,1,1,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
HQIVDWCSVLHHIC-IGQOVBAYSA-N,Carbocyclic Analogue 45,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
VSZGPKBBMSAYNT-UHFFFAOYSA-N,Oseltamivir,1,-2,-2,1,1,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
NVEHHLIUGKSLBV-QPTUXGOLSA-N,Chembl3357203,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
AMAXGSNGTPZEHY-IPMKNSEASA-N,Chembl3357214,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
WEJPZAQMGYOTBT-YNEHKIRRSA-N,Chembl3357208,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
FJQSAGQDEPZFSQ-GVDBMIGSSA-N,Chembl3357209,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
WEUWRQVKQNNAEK-INDMIFKZSA-N,Ac1Nuzfn,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
GQXORHHJNMOULU-XUVXKRRUSA-N,Chembl3342476,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
UOGXNGRTMXTGCK-WUHRBBMRSA-N,Carbocyclic Analog 20,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
DTBDFNJXZHXCFW-CYZMBNFOSA-N,Ac1Larrj,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
NLOONHWUUBBYCD-YNEHKIRRSA-N,Chembl2206459,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
DCOVCPHGKHWFHJ-RCCFBDPRSA-N,Chembl3342462,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
DVNHMULOEBCOQF-XUVXKRRUSA-N,Chembl3342475,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BXGDHYRLQOHUCE-JIMJEQGWSA-N,Chembl3342478,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
DWAAMBNIPRFPIV-GVDBMIGSSA-N,Chembl3342468,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
KJHUVPWNXPXUMQ-YNEHKIRRSA-N,Chembl3342331,0,-2,-2,1,1,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
SNPFQPYAZIIERE-CWPPHPDTSA-N,Carbocyclic Analogue 44,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
NENPYTRHICXVCS-YNEHKIRRSA-N,Oseltamivir acid,1,-2,-2,1,1,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ZYPMMXMURLBCLR-IPMKNSEASA-N,Chembl3263937,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
SPIVRZSUDNHNIY-BFHYXJOUSA-N,Chembl3357207,0,-2,-2,1,1,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
MMVFSYQYYBURNA-DJLDLDEBSA-N,Carbocyclic Analogue 32,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
QOLCCLLGNLIAMB-CEWLAPEOSA-N,Chembl3342472,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
HHWJNIXDCNTTTC-BFHYXJOUSA-N,Chembl3357204,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
HHNXLHVCUBWCJT-RCCFBDPRSA-N,Chembl3342456,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
GLTBEVKCDJQDEE-FCGDIQPGSA-N,Ac1Larqm,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
GLTBEVKCDJQDEE-INDMIFKZSA-N,Carbocyclic Analogue 53,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ZYHJMOZGMHULPA-BFHYXJOUSA-N,Chembl3357201,0,-2,-2,1,1,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
NENPYTRHICXVCS-UHFFFAOYSA-N,Oseltamivir acid,1,-2,-2,1,1,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
JMLAIPASNFVHQB-XUVXKRRUSA-N,Chembl3341765,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BPGZCCJLABIAJA-RCCFBDPRSA-N,Chembl3342470,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ROAMHVDTVHEBHH-BFHYXJOUSA-N,Chembl3357211,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
MYLKRBMLLOGEBS-NGSVMEPUSA-N,Ac1Larrm,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
FDCLDMFEMJHDFZ-DFQSSKMNSA-N,Chembl3342473,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
TXXPTEJSSVMAFL-YNEHKIRRSA-N,Chembl81717,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
FOEAWVQTXZTPBB-YNEHKIRRSA-N,Chembl3357212,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
XJOGOXCVUUHNTA-WNRNVDISSA-N,Ac1Larqa,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
OJIYHXVOKHBHJY-XUVXKRRUSA-N,Chembl3357205,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
FRYSRHHJWNBUDF-RRFJBIMHSA-N,Chembl2206932,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
WGHODTZLEHKXQC-GVDBMIGSSA-N,Chembl3263936,0,-2,-2,0,0,1,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
YOODOXUTKZODHS-UHFFFAOYSA-N,Chembl1277437,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
CMHQSZGZHCBTQY-HNDHONNRSA-N,Chembl1258732,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
YUHRKTLXCPHILD-UHFFFAOYSA-N,Chembl303018,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
JPSIECUFNYIDPF-IACUBPJLSA-N,Chembl161629,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
RFONMZKOXSGBKR-NWANDNLSSA-N,"(2R,3R,4S)-3-Acetamido-4-Amino-2-(Dibutylcarbamoyl)-3,4-Dihydro-2H-Pyran-6-Carboxylic Acid",0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BRTUVYIEVZPBTD-DLBZAZTESA-N,Chembl13425,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ZGOKVDSRHDGGBC-QBBQCFRVSA-N,Chembl1289428,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ZLSVJOBNLADCBL-AZPGRJICSA-N,Chembl399847,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
RKGOKRGBGUQYQN-UHFFFAOYSA-N,2-Amino-4-(4-Acetaminophenyl)-Thiophene-3-Carboxylic Acid Ethyl Ester,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
IWSDOYGCCUCLPE-MVWJERBFSA-N,"(2R,3R,4S)-3-Acetamido-4-Amino-2-[Ethyl(Propyl)Carbamoyl]-3,4-Dihydro-2H-Pyran-6-Carboxylic Acid",0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
CMHQSZGZHCBTQY-VYUYYQKWSA-N,Chembl1257235,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
YHSCBTCIVGRCMY-MCYRLUQKSA-N,Bdbm50218237,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BWRLTXMPYHAFDY-UHFFFAOYSA-N,Chembl3221239,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
OYGVUCTUTSCSJV-UHFFFAOYSA-N,Chembl3648740,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ARAIBEBZBOPLMB-RMQHSQOMSA-N,Zanamivir,1,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
KYBKBJIPIVZNKG-SAYLLPIZSA-N,Chembl1090653,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
OYLDAIRMYZMDRZ-XIJQPKCWSA-N,Chembl1090742,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BKXRISMBKWAGAR-UHFFFAOYSA-N,"Ethyl 5-[(4-Acetamidophenyl)Carbamoyl]-2,4-Dimethyl-1H-Pyrrole-3-Carboxylate",0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
VYHMVUYNWQDJFP-UHFFFAOYSA-N,Mls000590177,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ZLSVJOBNLADCBL-UHFFFAOYSA-N,ZLSVJOBNLADCBL-UHFFFAOYSA-N,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
CJRHXCLZYDLFTK-RRFJBIMHSA-N,Ac1Ns6Iq,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
REYKJMFSOGSBNM-ZPKKHLQPSA-N,Chembl1289649,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
WDNUOVJKQOKDLD-UHFFFAOYSA-N,Chembl159854,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
CNWUKDYFDDUVSI-DPMMWBKBSA-N,Chembl379816,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
QYNCJYWGTMZSNV-GVDBMIGSSA-N,Ac1Larpy,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
YFWFYQRLYHXIAL-UHFFFAOYSA-N,Chembl1317846,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ICMUIFDBEVJCQA-UHFFFAOYSA-N,Ac1Najlq,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ARAIBEBZBOPLMB-UFGQHTETSA-N,Zanamivir,1,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
JPWICWCKANHMHT-CGTJXYLNSA-N,Carboxamide Deriv. 4Ab,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
AQEDHLQMBLGFJJ-ICDZXHCJSA-N,Chembl3342481,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
PHYBFKLXQMCMNU-XFWWHTIISA-N,"(2R,3R,4S)-3-Acetamido-4-Amino-2-(2,5-Dimethylpyrrolidine-1-Carbonyl)-3,4-Dihydro-2H-Pyran-6-Carboxylic Acid",0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ZSTXFOWBWREAJT-UHFFFAOYSA-N,Ac1Mbwj5,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
KDTVUHXJRZVEIF-HXLXBVJFSA-N,Schembl4314010,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
NUJBTXFFJUGENN-UHFFFAOYSA-N,"Ethyl 3,4-Diaminobenzoate",0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BKSBSWKRQZCHQR-CWPPHPDTSA-N,Carbocyclic Analogue 62,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
GOYNOMOGSIJUFR-UHFFFAOYSA-N,Stk060551,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
NBJSIQRSLYGYHV-HBNTYKKESA-N,"(3R,4R,5S)-4-Acetamido-5-Amino-3-(Azetidin-1-Yl)Cyclohexene-1-Carboxylic Acid",0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
YOPIEHRATXBYRR-NSHDSACASA-N,Chembl2207127,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
CMHQSZGZHCBTQY-CNUJNCEHSA-N,Chembl1258852,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ZEVOCXOZYFLVKN-ZEBDFXRSSA-N,Alpha-Methyl-N-Acetyl-D-Glucosamine,1,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
SENVOKTYIMRFIU-ZVBMGDMTSA-N,Carboxamide Deriv. 4Aq,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ZXZWQHMARLSKTR-CYZMBNFOSA-N,Chembl295490,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
UUULUCUBSUJBNQ-UFGOTCBOSA-N,4D8S,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
YSTLRIPWHBZYEM-YNEHKIRRSA-N,Ac1Ns6Ih,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
IWMMGPLUXWSOEA-UHFFFAOYSA-N,Chembl2272704,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
SSMWNQCHCRSYNE-UHFFFAOYSA-N,Chembl338584,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
AQEATNDLNBFMRO-UHFFFAOYSA-N,Ethyl 4-Acetamido-3-Nitrobenzoate,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ARAIBEBZBOPLMB-JDHIKQJOSA-N,Zanamivir,1,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
XKRCKFGYMRLKNI-UHFFFAOYSA-N,Mls000525729,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ARAIBEBZBOPLMB-OIJFIQNFSA-N,Zanamivir,1,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ALOJVGUWCBVTJT-NBEYISGCSA-N,Chembl1161288,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ARAIBEBZBOPLMB-OQYXUJGNSA-N,Zanamivir,1,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
OKEYLXGAJZVHLC-UHFFFAOYSA-N,Mls002703105,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
LDEOVAHHWDPYJE-UHFFFAOYSA-N,Chembl2234510,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
KQIXDQQTPCBRIX-UHFFFAOYSA-N,Chembl396300,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
AYYGPPXPBVWOSA-ZZEHVWSGSA-N,Chembl1289540,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
APYILUJDCHUBTH-NRFQWKTPSA-N,Chembl386077,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
GAZXWZKUAACEMC-UHFFFAOYSA-N,Nsc687344,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
BQEPENVGAYBSNO-UHFFFAOYSA-N,Chembl3260888,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
IJIPALZRNBNNGE-UHFFFAOYSA-N,Mls000074597,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
ICJUBDNDCIISKF-ICDZXHCJSA-N,Carboxamide Deriv. 4Am,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
XIBPARAFOQGPJL-CYZMBNFOSA-N,Carboxamide Deriv. 5G,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
DLGJWSVWTWEWBJ-MUODBDBBSA-N,"(4S,5R,6R)-6-((2R,3R,4R,5R,6R)-3-Acetamido-2,5-Dihydroxy-6-(Hydroxymethyl)-Tetrahydro-2H-Pyran-4-Yloxy)-4,5-Dihydroxy-5,6-Dihydro-4H-Pyran-2-Carboxylic Acid",0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
NXLUGBWVRLKQSU-UHFFFAOYSA-N,Chembl1315681,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
XIBPARAFOQGPJL-WXHSDQCUSA-N,Benzoic Acid Inhibitor 4A,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
NCMJSVDTRDLWJE-UHFFFAOYSA-N,Ac1Mnvtz,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
OZPCIPJYBDQSKH-QJPTWQEYSA-N,Carbocyclic Analogue 35,0,-2,-2,0,0,0,1,1,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Hexachlorophene
