inchikey	name	is_drug	evidence	moa	support	lpv_5	lpv_4	lpv_3	top1_inchikey	top2_inchikey	top3_inchikey	top1_name	top2_name	top3_name
MWEHPDAZLSYTLC-JMCQJSRRSA-N	Chembl69546	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
ALFVGZFBEKKEJT-UHFFFAOYSA-N	Chembl8370	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
DDADXEQGUNIKPT-UHFFFAOYSA-N	Chembl440567	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
UMROJVTVEZTZQH-BQVZVJNFSA-N	UMROJVTVEZTZQH-BQVZVJNFSA-N	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YIPHYLXMOIMFEE-MAUKXSAKSA-N	Chembl308920	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
AMMUSGBZUXCBIC-UHFFFAOYSA-N	Chembl311679	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
QWXSGSDKGGYSSJ-UHFFFAOYSA-N	Chembl294664	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
ZNJRNZXFJKLDOI-LNVKXUELSA-N	ZNJRNZXFJKLDOI-LNVKXUELSA-N	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
BRGJYGOQKYCMGP-UHFFFAOYSA-N	Chembl241570	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
OLKIXQGJDUXXTC-UHFFFAOYSA-N	Chembl239440	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YREIRIKJAMPPHC-UHFFFAOYSA-N	Chembl292887	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
