inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
KIFFXCWBNBXUAR-UHFFFAOYSA-N,N-Benzothiazol-2-Yl-2-Nitro-Benzamide,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
QZZSHTYRXGWRRI-UHFFFAOYSA-N,Mls-0315797.0001,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
NXKIMXJJWOXMMH-UHFFFAOYSA-N,St50630855,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YSUBAKMTZJCMPW-UHFFFAOYSA-N,Mls000708258,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CSISQKPORXSGCO-UHFFFAOYSA-N,"Triazole, 3H",0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ZRGWZLULKVTFGU-UHFFFAOYSA-N,Mls001035570,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
BJQZFWVUWUUMQV-UHFFFAOYSA-N,Mls000764753,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
MBBBYTSYHZTASW-ULUSZKPHSA-N,Mls002152963,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
DYDUEZDUGQXVHR-UHFFFAOYSA-N,Mls002693849,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
JIOLBGQKAQWPLK-UHFFFAOYSA-N,St50625038,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
AANZMQGEJIZNKQ-UHFFFAOYSA-N,Mls000538897,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CFKDEUNGHFBINR-UHFFFAOYSA-N,Ac1Msrcg,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WJDNQCITOMEIGG-UHFFFAOYSA-N,"2-Nitro-N-1,3-Thiazol-2-Ylbenzamide",0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
PQSHNLHSNRWFDA-UHFFFAOYSA-N,St51029190,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ZTSYYNKGZDDRHR-UHFFFAOYSA-N,Mls001017317,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YWXVDTSGAZBQDY-UHFFFAOYSA-N,Nsc666738,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
SUDKDBNLSGILSB-UHFFFAOYSA-N,Mls000719280,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,,Levamisole,Benzylpenicillin,
VAUWYBKCJGMCHA-UHFFFAOYSA-N,"N-(6-Methoxy-1,3-Benzothiazol-2-Yl)-2-Nitrobenzamide",0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
PXCPARRRVHBMBK-ZZXKWVIFSA-N,Ac1Nrftb,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,Acetylsalicylic acid,1,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
RMSQNMRPJFOXMJ-UHFFFAOYSA-N,"Triazole, 3G",0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
MYGVCLCQXLGEHR-UHFFFAOYSA-N,Mls002171146,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YQXCEIWBUQMPMX-UHFFFAOYSA-N,Mls000764692,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,,Levamisole,Benzylpenicillin,
ONLMRIYNWGCRLQ-UHFFFAOYSA-N,Smr000196165,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HMAJVAFLGGPIPN-UHFFFAOYSA-N,Disperse Blue 124,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
JUOZFQFRLAKATR-UHFFFAOYSA-N,4-Methyl-N-(5-Nitro-Thiazol-2-Yl)-Benzamide,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HAQCGFVINUGJBS-UHFFFAOYSA-N,"N-(5-Nitro-1,3-Thiazol-2-Yl)Pentanamide",0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
MOHWQCUYVRPUPC-UHFFFAOYSA-N,"N-[5-(Methoxymethyl)-1,3,4-Thiadiazol-2-Yl]-2-Nitrobenzamide",0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WPDDCDPPSHTJDH-UHFFFAOYSA-N,"2-(2,5-Dimethoxyphenylcarbamoyl)Phenyl Acetate",0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
UPIAKWZLXTWRNR-UHFFFAOYSA-N,N-Benzothiazol-2-Yl-2-Methoxy-Benzamide,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YCRGHYGRCLDZKS-UHFFFAOYSA-N,Chembl3343865,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YGZFJEKSLROESA-UHFFFAOYSA-N,N-(3-Bromophenyl)-2-Methyl-3-Nitrobenzamide,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CTHNKWFUDCMLIQ-UHFFFAOYSA-N,No-Aspirin,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
PTMZXADOSXEJNS-UHFFFAOYSA-N,Mls002159188,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WIVBWTCSGYLKIE-UHFFFAOYSA-N,St50666358,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
SPNKLYOUOJJHBK-UHFFFAOYSA-N,Nsc 311727,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
QYKQHNTWQJPQOZ-UHFFFAOYSA-N,Chembl503022,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CKDGJQLBXUOVSI-UHFFFAOYSA-N,Kinome_2841,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,CZFFBEXEKNGXKS-UHFFFAOYSA-N,,Levamisole,Raltegravir,
XTZCANWHGGPKNY-UHFFFAOYSA-N,Chembl3322832,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YWGCODBJPUZBRI-UHFFFAOYSA-N,Mls001219053,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WPXBDBHYTQROJA-UHFFFAOYSA-N,"Triazole, 3N",0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ZLOXYEZYWCTXHU-UHFFFAOYSA-N,Tenonitrozole,1,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
FQSUTLQHSDLLAN-UHFFFAOYSA-N,Nithiazide,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
XQBAOTULQYYESW-UHFFFAOYSA-N,Ac1Mgyma,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HSPKPPHNQJNEDV-UHFFFAOYSA-N,Mls000689194,0,-2,-2,8,0,1,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
FRBVFYWBWOUZIY-UHFFFAOYSA-N,Mls000851388,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
