inchikey	name	is_drug	evidence	moa	support	lpv_5	lpv_4	lpv_3	top1_inchikey	top2_inchikey	top3_inchikey	top1_name	top2_name	top3_name
CPJLEFWHDGPJKX-UHFFFAOYSA-N	Mls000767613	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
UYYQKLFHMYQRSN-UHFFFAOYSA-N	Mls001216877	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
AXGZEJAPZLZJRW-UHFFFAOYSA-N	Ac1Oga2A	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
NPTZSEVMQXDFAA-UHFFFAOYSA-N	2-Bromo-N-(5-Nitro-Thiazol-2-Yl)-Benzamide	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
BQBORCXDKZDXKB-UHFFFAOYSA-N	Ac1Miu24	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
OFWUTLYOGLOZID-UHFFFAOYSA-N	F0664-0108	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
QFPGKQYYQDTOFV-UHFFFAOYSA-N	Mls000756380	0	-2	-2	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
YQNQNVDNTFHQSW-UHFFFAOYSA-N	Nitazoxanide	1	3	1	12	1	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
QZZSHTYRXGWRRI-UHFFFAOYSA-N	Mls-0315797.0001	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
CSISQKPORXSGCO-UHFFFAOYSA-N	Triazole, 3H	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
UKCYXJSMXMIPPN-UHFFFAOYSA-N	Ac1Mch2G	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
ZRGWZLULKVTFGU-UHFFFAOYSA-N	Mls001035570	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
BJQZFWVUWUUMQV-UHFFFAOYSA-N	Mls000764753	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
AANZMQGEJIZNKQ-UHFFFAOYSA-N	Mls000538897	0	-2	-2	8	0	1	1	YQNQNVDNTFHQSW-UHFFFAOYSA-N			Nitazoxanide		
